step,time_fs,temperature_K,kinetic_eV,potential_eV,total_eV,pressure_GPa,volume_A3,a_A,b_A,c_A,alpha_deg,beta_deg,gamma_deg
0,0.0,199.2915110832707,25.55432847198701,-996519.7997070624,-996494.2453785904,-0.8189513408176499,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
10,10.0,198.86185264438703,25.499235142530505,-996519.7239613977,-996494.2247262552,-0.8151793826894287,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
20,20.0,202.27325935460465,25.93666575435429,-996520.1100553008,-996494.1733895465,-0.9512894257144883,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
30,30.0,197.04491215849976,25.266256358145583,-996519.4547602794,-996494.1885039213,-0.6474314995424071,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
40,40.0,187.7872024073611,24.079178420941997,-996518.244247216,-996494.1650687951,-0.583200653905621,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
50,50.0,193.7732751129979,24.846747833936828,-996518.9309376377,-996494.0841898038,-0.773991162806485,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
60,60.0,201.33004195743845,25.815720877893366,-996519.8688530516,-996494.0531321737,-0.4942736149637869,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
70,70.0,196.7938940979797,25.23406934758972,-996519.2982983867,-996494.0642290391,-0.5844831303728806,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
80,80.0,199.98548948509927,25.643314460082514,-996519.7792487765,-996494.1359343164,-0.8817990176442325,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
90,90.0,208.85169387190513,26.780191279213767,-996520.9158661301,-996494.1356748509,-0.7424114247099538,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
100,100.0,209.21448036592471,26.82670989499918,-996521.0114324088,-996494.1847225138,-0.9479422822888799,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
110,110.0,202.0787986802466,25.911730864150396,-996520.1438555254,-996494.2321246612,-1.0599349912549008,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
120,120.0,200.54691857926622,25.71530419716709,-996519.9362182003,-996494.2209140031,-0.81786031520128,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
130,130.0,196.859414266668,25.242470728577302,-996519.4666466385,-996494.2241759099,-0.5524001758951224,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
140,140.0,198.49723114430486,25.45248123148632,-996519.6773557935,-996494.224874562,-0.7394218406642308,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
150,150.0,198.89480439823714,25.503460410014487,-996519.7029137758,-996494.1994533658,-0.46545640471466126,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
160,160.0,198.92437653392716,25.507252323001314,-996519.7016718218,-996494.1944194988,-0.5949803301474175,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
170,170.0,202.76178943598657,25.99930795170741,-996520.2296156482,-996494.2303076965,-0.6915056477542082,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
180,180.0,202.46326033771663,25.961028796744067,-996520.1877893686,-996494.2267605718,-0.43789448645487217,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
190,190.0,200.0891891084809,25.65661143507112,-996519.8987201496,-996494.2421087145,-0.5255257352344384,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
200,200.0,193.8751397241479,24.859809512875632,-996519.0506607733,-996494.1908512604,-0.41609771733303247,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
210,210.0,202.25319159927392,25.934092548859336,-996520.0787859224,-996494.1446933735,-0.48288982930112356,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
220,220.0,199.4067458616443,25.56910455232254,-996519.6739756706,-996494.1048711183,-0.7348023243056001,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
230,230.0,193.02017025901515,24.7501803047535,-996518.8202054068,-996494.070025102,-0.8877386722758731,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
240,240.0,199.09218235988374,25.528769371934803,-996519.6218374685,-996494.0930680966,-1.16944970469258,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
