PMC_ID,Molecule,Crystal_System,Space_Group,Sources,Chars,Preview
PMC-001,γ-Glycine,Trigonal,P3_1,"Summary,Metadata,Paper,Structure",6140,"[Summary] Gamma-glycine (γ-glycine), chemical formula C2H5NO2, molecular weight 75.07, is a single-component organic molecular crystal. It crystallizes in the non-centrosymmetric, polar trigonal space"
PMC-002,β-Glycine,Monoclinic,P2_1,"Summary,Metadata,Paper,Structure",7255,"[Summary] Beta-glycine (β-glycine), chemical formula C2H5NO2, molecular weight 75.07, is a single-component organic molecular crystal and a metastable polymorph of glycine. It crystallizes in the non-"
PMC-003,Croconic Acid,Orthorhombic,Pca2_1,"Summary,Metadata,Paper,Structure",6523,"[Summary] Croconic acid (4,5-dihydroxy-4-cyclopentene-1,2,3-trione), chemical formula C5H2O5, molecular weight 142.07, is a single-component organic molecular crystal and a prototypical proton-transfe"
PMC-004,2-Methylbenzimidazole,Monoclinic,Pn,"Summary,Metadata,Paper,Structure",6714,"[Summary] 2-Methylbenzimidazole (MBI), chemical formula C8H8N2, molecular weight 132.16, is a single-component organic molecular crystal and a proton-transfer-type biaxial ferroelectric that remains f"
PMC-005,2-Phenylmalondialdehyde,Orthorhombic,Pna2_1,"Summary,Metadata,Paper,Structure",7042,"[Summary] 2-Phenylmalondialdehyde (PhMDA), chemical formula C9H8O2, molecular weight 148.16, is a single-component hydrogen-bonded organic molecular crystal and a room-temperature ferroelectric. It cr"
PMC-006,"5,6-Dichloro-2-methylbenzimidazole",Orthorhombic,Pca2_1,"Summary,Metadata,Paper,Structure",7704,"[Summary] 5,6-Dichloro-2-methylbenzimidazole (DC-MBI), chemical formula C8H6Cl2N2, molecular weight 201.07, is a single-component hydrogen-bonded organic molecular crystal and an above-room-temperatur"
PMC-007,L-Alanine,Orthorhombic,P2_12_12_1,"Summary,Metadata,Paper,Structure",7807,"[Summary] L-Alanine, chemical formula C3H7NO2, molecular weight 89.09, is a single-component organic amino-acid molecular crystal. It crystallizes in the non-centrosymmetric, non-polar (enantiomorphic"
PMC-008,meta-Nitroaniline,Orthorhombic,Pbc2_1,"Summary,Metadata,Paper,Structure",8127,"[Summary] meta-Nitroaniline (mNA, 3-nitroaniline), chemical formula C6H6N2O2, molecular weight 138.12, is a single-component polar organic molecular crystal widely studied as a nonlinear-optical mater"
PMC-009,L-Histidine Hydrochloride Monohydrate,orthorhombic,P2₁2₁2₁,"Summary,Metadata,Paper,Structure",8932,[Summary] L-Histidine hydrochloride monohydrate is an organic molecular salt (histidinium cation + chloride anion + water) that crystallizes in the non-centrosymmetric orthorhombic space group P2₁2₁2₁
PMC-010,L-Arginine Hydrochloride Monohydrate,Monoclinic,P21,"Summary,Metadata,Paper,Structure",10810,[Summary] L-Arginine hydrochloride monohydrate is an organic hydrogen-bonded molecular salt crystal with chemical formula C6H15N4O2+·Cl−·H2O. It crystallizes in the non-centrosymmetric monoclinic spac
PMC-011,PMC-011,,,"Metadata,Metadata,Paper,Paper,Structure,Structure",13482,[Metadata] Crystal ID: PMC-011   Crystal File Name Web : BZDMAZ01  CCDC ID               : 1118210  Molecule Name         : Benzimidazole  Chemical Formula      : C7H6N2  Crystal Type          : Organ
